Entity,Year,Median,Upper,Lower
Global,1850,-0.373,-0.339,-0.425
Global,1851,-0.218,-0.184,-0.274
Global,1852,-0.228,-0.196,-0.28
Global,1853,-0.269,-0.239,-0.321
Global,1854,-0.248,-0.218,-0.301
Global,1855,-0.272,-0.241,-0.324
Global,1856,-0.358,-0.327,-0.413
Global,1857,-0.461,-0.431,-0.512
Global,1858,-0.467,-0.435,-0.521
Global,1859,-0.284,-0.249,-0.34
Global,1860,-0.343,-0.31,-0.405
Global,1861,-0.407,-0.356,-0.484
Global,1862,-0.524,-0.471,-0.597
Global,1863,-0.278,-0.226,-0.359
Global,1864,-0.494,-0.448,-0.564
Global,1865,-0.279,-0.232,-0.358
Global,1866,-0.251,-0.197,-0.338
Global,1867,-0.321,-0.265,-0.406
Global,1868,-0.238,-0.185,-0.326
Global,1869,-0.262,-0.221,-0.333
Global,1870,-0.276,-0.239,-0.34
Global,1871,-0.335,-0.293,-0.404
Global,1872,-0.227,-0.187,-0.29
Global,1873,-0.304,-0.258,-0.364
Global,1874,-0.368,-0.325,-0.435
Global,1875,-0.395,-0.352,-0.464
Global,1876,-0.384,-0.335,-0.453
Global,1877,-0.075,-0.026,-0.146
Global,1878,0.035,0.084,-0.026
Global,1879,-0.23,-0.189,-0.291
Global,1880,-0.227,-0.182,-0.288
Global,1881,-0.2,-0.157,-0.259
Global,1882,-0.213,-0.171,-0.274
Global,1883,-0.296,-0.251,-0.35
Global,1884,-0.409,-0.373,-0.457
Global,1885,-0.389,-0.354,-0.444
Global,1886,-0.367,-0.334,-0.419
Global,1887,-0.418,-0.382,-0.476
Global,1888,-0.307,-0.268,-0.359
Global,1889,-0.171,-0.129,-0.235
Global,1890,-0.416,-0.369,-0.484
Global,1891,-0.33,-0.276,-0.408
Global,1892,-0.455,-0.4,-0.526
Global,1893,-0.473,-0.416,-0.547
Global,1894,-0.41,-0.352,-0.487
Global,1895,-0.39,-0.335,-0.46
Global,1896,-0.186,-0.136,-0.255
Global,1897,-0.206,-0.153,-0.273
Global,1898,-0.412,-0.362,-0.479
Global,1899,-0.289,-0.231,-0.355
Global,1900,-0.203,-0.147,-0.272
Global,1901,-0.259,-0.208,-0.326
Global,1902,-0.402,-0.355,-0.461
Global,1903,-0.479,-0.431,-0.543
Global,1904,-0.52,-0.471,-0.58
Global,1905,-0.377,-0.326,-0.438
Global,1906,-0.283,-0.232,-0.338
Global,1907,-0.465,-0.423,-0.523
Global,1908,-0.511,-0.468,-0.563
Global,1909,-0.522,-0.476,-0.576
Global,1910,-0.49,-0.448,-0.547
Global,1911,-0.544,-0.498,-0.595
Global,1912,-0.437,-0.392,-0.486
Global,1913,-0.424,-0.381,-0.471
Global,1914,-0.244,-0.197,-0.291
Global,1915,-0.141,-0.085,-0.202
Global,1916,-0.383,-0.328,-0.437
Global,1917,-0.468,-0.413,-0.525
Global,1918,-0.333,-0.27,-0.396
Global,1919,-0.275,-0.217,-0.327
Global,1920,-0.247,-0.198,-0.296
Global,1921,-0.187,-0.149,-0.237
Global,1922,-0.302,-0.262,-0.346
Global,1923,-0.276,-0.237,-0.323
Global,1924,-0.294,-0.259,-0.34
Global,1925,-0.215,-0.178,-0.265
Global,1926,-0.108,-0.07,-0.155
Global,1927,-0.21,-0.177,-0.253
Global,1928,-0.206,-0.174,-0.253
Global,1929,-0.35,-0.32,-0.394
Global,1930,-0.137,-0.104,-0.181
Global,1931,-0.087,-0.055,-0.133
Global,1932,-0.137,-0.107,-0.183
Global,1933,-0.273,-0.24,-0.32
Global,1934,-0.131,-0.1,-0.177
Global,1935,-0.178,-0.15,-0.221
Global,1936,-0.147,-0.12,-0.186
Global,1937,-0.026,0.001,-0.064
Global,1938,-0.006,0.017,-0.044
Global,1939,-0.052,-0.029,-0.088
Global,1940,0.014,0.045,-0.018
Global,1941,0.02,0.053,-0.021
Global,1942,-0.027,0.015,-0.081
Global,1943,-0.004,0.036,-0.056
Global,1944,0.144,0.18,0.094
Global,1945,0.025,0.059,-0.017
Global,1946,-0.071,-0.042,-0.113
Global,1947,-0.038,0.001,-0.098
Global,1948,-0.039,0,-0.101
Global,1949,-0.074,-0.036,-0.119
Global,1950,-0.173,-0.135,-0.216
Global,1951,-0.052,-0.018,-0.091
Global,1952,0.028,0.063,-0.01
Global,1953,0.097,0.132,0.06
Global,1954,-0.129,-0.093,-0.166
Global,1955,-0.19,-0.16,-0.222
Global,1956,-0.267,-0.236,-0.297
Global,1957,-0.007,0.024,-0.035
Global,1958,0.046,0.075,0.02
Global,1959,0.017,0.043,-0.008
Global,1960,-0.049,-0.023,-0.073
Global,1961,0.038,0.06,0.009
Global,1962,0.014,0.034,-0.012
Global,1963,0.048,0.074,0.022
Global,1964,-0.223,-0.197,-0.246
Global,1965,-0.14,-0.113,-0.163
Global,1966,-0.068,-0.042,-0.09
Global,1967,-0.074,-0.052,-0.093
Global,1968,-0.113,-0.097,-0.133
Global,1969,0.032,0.05,0.014
Global,1970,-0.027,-0.009,-0.048
Global,1971,-0.186,-0.163,-0.204
Global,1972,-0.065,-0.04,-0.08
Global,1973,0.062,0.082,0.051
Global,1974,-0.214,-0.197,-0.227
Global,1975,-0.149,-0.134,-0.163
Global,1976,-0.241,-0.227,-0.255
Global,1977,0.047,0.064,0.034
Global,1978,-0.062,-0.044,-0.077
Global,1979,0.057,0.076,0.041
Global,1980,0.092,0.107,0.077
Global,1981,0.14,0.153,0.125
Global,1982,0.011,0.03,-0.011
Global,1983,0.194,0.211,0.174
Global,1984,-0.014,0.006,-0.033
Global,1985,-0.03,-0.013,-0.048
Global,1986,0.045,0.067,0.024
Global,1987,0.192,0.22,0.171
Global,1988,0.198,0.221,0.175
Global,1989,0.118,0.147,0.091
Global,1990,0.296,0.33,0.267
Global,1991,0.254,0.289,0.22
Global,1992,0.105,0.139,0.071
Global,1993,0.148,0.186,0.112
Global,1994,0.208,0.247,0.174
Global,1995,0.325,0.361,0.289
Global,1996,0.183,0.217,0.146
Global,1997,0.39,0.425,0.356
Global,1998,0.539,0.578,0.5
Global,1999,0.306,0.343,0.265
Global,2000,0.294,0.338,0.259
Global,2001,0.441,0.483,0.406
Global,2002,0.496,0.538,0.463
Global,2003,0.505,0.546,0.473
Global,2004,0.447,0.483,0.413
Global,2005,0.545,0.583,0.507
Global,2006,0.506,0.544,0.468
Global,2007,0.491,0.531,0.457
Global,2008,0.395,0.432,0.355
Global,2009,0.506,0.546,0.465
Global,2010,0.56,0.603,0.523
Global,2011,0.425,0.466,0.393
Global,2012,0.47,0.509,0.437
Global,2013,0.514,0.552,0.478
Global,2014,0.579,0.616,0.545
Global,2015,0.763,0.802,0.73
Global,2016,0.797,0.835,0.762
Global,2017,0.677,0.716,0.636
Global,2018,0.595,0.634,0.558
Northern_Hemisphere,1850,-0.336,-0.284,-0.406
Northern_Hemisphere,1851,-0.159,-0.108,-0.242
Northern_Hemisphere,1852,-0.107,-0.058,-0.18
Northern_Hemisphere,1853,-0.177,-0.132,-0.253
Northern_Hemisphere,1854,-0.071,-0.026,-0.145
Northern_Hemisphere,1855,-0.19,-0.145,-0.258
Northern_Hemisphere,1856,-0.378,-0.335,-0.454
Northern_Hemisphere,1857,-0.405,-0.361,-0.479
Northern_Hemisphere,1858,-0.4,-0.357,-0.48
Northern_Hemisphere,1859,-0.215,-0.158,-0.303
Northern_Hemisphere,1860,-0.363,-0.301,-0.454
Northern_Hemisphere,1861,-0.295,-0.208,-0.419
Northern_Hemisphere,1862,-0.668,-0.573,-0.777
Northern_Hemisphere,1863,-0.195,-0.099,-0.319
Northern_Hemisphere,1864,-0.521,-0.444,-0.632
Northern_Hemisphere,1865,-0.258,-0.165,-0.381
Northern_Hemisphere,1866,-0.21,-0.095,-0.35
Northern_Hemisphere,1867,-0.338,-0.231,-0.477
Northern_Hemisphere,1868,-0.128,-0.012,-0.275
Northern_Hemisphere,1869,-0.127,-0.047,-0.242
Northern_Hemisphere,1870,-0.203,-0.136,-0.305
Northern_Hemisphere,1871,-0.397,-0.322,-0.512
Northern_Hemisphere,1872,-0.185,-0.109,-0.287
